X,Y,listing_id,host_id,price,room_type,latitude,longitude,region,inscriptio,COD_PRO
11.2074012963,43.672807490899999,448832,2228719,50.061742816100001,Entire home/apt,43.672807490899999,11.207401296300000,Tuscany,201204,48
9.814684628089999,44.127979011500003,461371,2292888,76.761338984700004,Private room,44.127979011500003,9.814684628089999,Liguria,201205,11
11.2448927309,43.769507462699998,13119879,72926246,55.624158684599998,Entire home/apt,43.769507462699998,11.244892730900000,Toscana,201605,48
11.8813327639,43.4669716792,4518240,21373079,76.761338984700004,Entire home/apt,43.466971679200000,11.881332763900000,Toscana,201409,51
11.3056680614,43.586266492500002,414611,2061974,45.321637426899997,Private room,43.586266492500002,11.305668061400000,Toscana,201204,48
11.1831601392,43.756775501,4599328,23767943,61.186574553100002,Entire home/apt,43.756775501000000,11.183160139200000,Toscana,201411,48
11.321749191,43.062232503799997,514299,2533250,77.873822158400003,Entire home/apt,43.062232503799997,11.321749191000000,Tuscany,201206,53
11.459247535399999,43.7427288023,529926,2603347,72.311406289999994,Entire home/apt,43.742728802300000,11.459247535399999,Tuscany,201206,48
11.178875783400001,43.7614659308,8734293,45826829,36.711944731800003,Entire home/apt,43.761465930800000,11.178875783400001,Toscana,201510,48
11.169952375599999,43.919720975200001,446716,2218493,122.373149106000000,Entire home/apt,43.919720975200001,11.169952375599999,Toscana,201204,48
10.4899091196,43.8382774285,8822136,46211880,61.186574553100002,Entire home/apt,43.838277428500000,10.489909119600000,Toscana,201510,46
10.305625295,43.552700362899998,13071220,3606308,27.812079342299999,Private room,43.552700362899998,10.305625295000000,Toscana,201209,49
9.709402548650001,44.11951297,4238916,21585960,72.311406289999994,Private room,44.119512970000002,9.709402548650001,Liguria,201409,11
11.0681005385,43.343826695300002,13048243,34713031,55.624158684599998,Entire home/apt,43.343826695300002,11.068100538500000,Toscana,201506,52
11.320618726199999,43.331337771299999,7893665,41617824,44.499326947699998,Private room,43.331337771299999,11.320618726199999,Toscana,201508,52
10.9609860437,43.774032120199998,12861533,64451689,44.499326947699998,Private room,43.774032120199998,10.960986043700000,Toscana,201603,48
10.399102667299999,43.717924836100003,13014617,58717741,38.936911079200001,Private room,43.717924836100003,10.399102667299999,Toscana,201602,50
10.8838228733,43.741607428899997,12589835,26870838,65.636507247799997,Entire home/apt,43.741607428899997,10.883822873300000,Toscana,201501,48
9.95684538493,44.109523669399998,221042,1146413,38.936911079200001,Private room,44.109523669399998,9.956845384930000,Liguria,201109,11
11.4909472162,42.621091236200002,4473223,22355669,83.436238026900000,Entire home/apt,42.621091236200002,11.490947216200000,Tuscany,201410,53
11.1597200011,43.562084059599997,8859841,40419823,63.411540900399999,Entire home/apt,43.562084059599997,11.159720001100000,Toscana,201508,48
11.3789772752,43.585291163800001,449134,1175092,66.748990421499997,Entire home/apt,43.585291163800001,11.378977275200000,Tuscany,201109,48
10.7142966386,43.1780332047,4490416,9981321,55.624158684599998,Entire home/apt,43.178033204700000,10.714296638600000,Tuscany,201311,50
10.104648689399999,44.013598999800003,445274,1029146,27.812079342299999,Private room,44.013598999800003,10.104648689399999,Toscana,201108,45
11.3391250318,43.763587558799998,4592742,23807118,63.411540900399999,Entire home/apt,43.763587558799998,11.339125031800000,Tuscany,201411,48
11.008532364900001,43.8005147167,463716,2265406,22.249663473799998,Private room,43.800514716700000,11.008532364900001,Tuscany,201205,100
10.9235485587,43.702142562200002,554181,2724306,55.624158684599998,Entire home/apt,43.702142562200002,10.923548558700000,Tuscany,201206,48
10.90553442,43.2069614169,12951474,9700240,27.812079342299999,Private room,43.206961416900000,10.905534420000000,Toscana,201310,50
12.238376196700001,43.4583124619,13106794,72841865,26.000000000000000,Entire home/apt,43.458312461900000,12.238376196700001,Umbria,201605,54
10.5873860984,43.911203357200002,367722,1856338,40.049394252900001,Private room,43.911203357200002,10.587386098400000,Tuscany,201203,46
11.085578165399999,43.776027884900003,135806,665544,83.436238026900000,Entire home/apt,43.776027884900003,11.085578165399999,Tuscany,201106,48
10.314860235499999,43.553745623099999,13056578,38648518,22.249663473799998,Shared room,43.553745623099999,10.314860235499999,Toscana,201507,49
11.043929094599999,43.467925444499997,456219,2231630,72.311406289999994,Entire home/apt,43.467925444499997,11.043929094599999,Tuscany,201204,52
11.302472316,43.683163449299997,4597131,23828745,111.248317369000006,Entire home/apt,43.683163449299997,11.302472315999999,Toscana,201411,48
10.584211355500001,43.533926823800002,548984,2699470,36.711944731800003,Private room,43.533926823800002,10.584211355500001,Pisa,201206,50
11.597523021300001,43.297913085899999,7215479,29568103,44.499326947699998,Private room,43.297913085899999,11.597523021300001,Toscana,201503,52
10.898216678200001,43.865017533200003,3924977,9066718,77.873822158400003,Entire home/apt,43.865017533200003,10.898216678200001,Tuscany,201309,47
9.732735868980001,44.169635212,13200574,12665968,111.248317369000006,Entire home/apt,44.169635212000003,9.732735868980001,Liguria,201402,11
11.2692783032,43.690525754,3005493,14433824,222.496634738000012,Entire home/apt,43.690525753999999,11.269278303200000,Tuscany,201404,48
10.562647914099999,43.573714039400002,4267647,22154084,38.936911079200001,Entire home/apt,43.573714039400002,10.562647914099999,Tuscany,201410,50
11.652204983,43.446679043099998,8876571,45339317,266.995961685999987,Entire home/apt,43.446679043099998,11.652204983000001,Toscana,201509,51
11.8750306787,43.634030490400001,89363,243462,51.174225989800000,Entire home/apt,43.634030490400001,11.875030678700000,Tuscany,201009,51
11.074436629499999,42.874353818099998,86175,407778,1112.483173690000058,Entire home/apt,42.874353818099998,11.074436629499999,Tuscany,201102,53
